Gene,# Hairpins,NES,Gene rank,p-value,p-value rank
KIAA0196,6,0.0005764,1,0.0001,4
SLFN14,6,0.004255,2,0.0001,2
MTRNR2L2,6,0.004413,3,0.0001,1
DGCR6,6,0.005611,4,0.0004,6
TMSB4Y,4,0.005614,5,0.0001,3
OR2A25,6,0.006507,6,0.0004,7
DSTN,6,0.006534,7,0.0004,8
RPTN,6,0.007925,8,0.0005,12
ZNF446,6,0.008105,9,0.0005,10
RPL3,6,0.008929,10,0.0005,11
GTF3C4,6,0.009227,11,0.0006,13
SKA3,6,0.009947,12,0.0007,16
IPO7,6,0.01023,13,0.0007,17
FAM124B,6,0.0104,14,0.0008,18
GIMD1,6,0.01041,15,0.0008,20
hsa-mir-626,4,0.01103,16,0.0003,5
NUDT16,6,0.01146,17,0.0008,22
C8orf58,6,0.01228,18,0.0008,19
UBA2,6,0.01336,19,0.001,25
HYAL2,6,0.01356,20,0.001,23
ORC6,6,0.01362,21,0.001,26
CHST15,6,0.01373,22,0.001,28
CLDN3,6,0.01398,23,0.001,27
hsa-mir-373,4,0.01428,24,0.0005,9
ITGA1,6,0.01467,25,0.0011,32
SGPP1,6,0.01481,26,0.0011,30
SLC25A45,6,0.01508,27,0.0013,33
PRPF38B,6,0.01586,28,0.0013,34
SCAF11,6,0.01593,29,0.0013,37
MTMR1,6,0.01595,30,0.0013,36
CACNA2D4,6,0.01597,31,0.0013,35
DTYMK,6,0.01603,32,0.0014,46
ENY2,6,0.01604,33,0.0014,39
VN1R5,6,0.01617,34,0.0014,41
AATF,6,0.01641,35,0.0014,38
DDOST,6,0.01644,36,0.0014,47
TMCO4,6,0.01647,37,0.0014,43
GLIPR1L2,6,0.01648,38,0.0014,42
BUD31,6,0.01689,39,0.0014,44
CISD2,6,0.017,40,0.0014,40
RAPGEF1,6,0.01713,41,0.0014,45
TEKT1,6,0.01772,42,0.0015,48
NAT6,6,0.01781,43,0.0015,49
hsa-mir-4271,4,0.0179,44,0.001,24
TCTN3,6,0.01847,45,0.0016,52
RBM26,6,0.01848,46,0.0016,51
hsa-mir-4753,4,0.01867,47,0.0011,29
OSTC,6,0.01898,48,0.0016,50
HIST1H2AJ,6,0.01922,49,0.0017,54
hsa-mir-655,4,0.01958,50,0.0011,31
RPL7,6,0.02008,51,0.0018,59
PTH2R,6,0.02011,52,0.0018,57
PALB2,6,0.0204,53,0.0018,56
GNB2L1,6,0.02111,54,0.0019,67
SPPL2C,6,0.02122,55,0.0019,60
TARS,6,0.02151,56,0.0019,62
OR2V1,6,0.02152,57,0.0019,66
WNK1,6,0.02165,58,0.0019,65
FASTK,6,0.02168,59,0.0019,64
SNAPC1,6,0.02197,60,0.0019,63
PPARGC1A,6,0.02214,61,0.0019,61
REL,6,0.02237,62,0.002,72
IGHMBP2,6,0.02238,63,0.002,70
ATP6AP1,6,0.02241,64,0.002,68
NPHP1,6,0.02246,65,0.002,71
RRP9,6,0.02277,66,0.002,69
hsa-mir-3173,4,0.02306,67,0.0017,53
TRPC3,6,0.02317,68,0.0022,77
MITD1,6,0.02329,69,0.0022,74
IKZF3,6,0.02336,70,0.0022,76
PRPF38A,6,0.02374,71,0.0022,78
GRXCR2,6,0.02392,72,0.0022,79
THADA,6,0.02408,73,0.0022,81
SERF1B,6,0.02451,74,0.0023,86
SERF1A,6,0.02452,75,0.0023,85
UBA5,6,0.02478,76,0.0023,82
PKHD1L1,6,0.02486,77,0.0023,84
hsa-mir-4769,4,0.02487,78,0.0018,55
TSTD2,6,0.02489,79,0.0023,83
CENPC1,6,0.02509,80,0.0024,87
UGT2B4,6,0.02515,81,0.0024,89
ZNF860,6,0.02534,82,0.0025,99
VPS28,6,0.02545,83,0.0025,90
AGMO,6,0.02555,84,0.0025,93
KRTAP5-11,6,0.0256,85,0.0025,100
MCM5,6,0.02561,86,0.0025,91
